"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[885] NA",0.13454390546,0.1335685,0.128866762633284,12709.7,0.95,0.095978,0.177577,NA,NA,NA,NA,NA,NA,NA
"mu[886] NA",0.254231565133333,0.253956,0.255851234286647,15365.6,0.95,0.207567,0.303786,NA,NA,NA,NA,NA,NA,NA
"mu[887] NA",0.262025312866667,0.261853,0.261572346806652,15356.5,0.95,0.229932,0.295528,NA,NA,NA,NA,NA,NA,NA
"mu[888] NA",0.12785748872,0.1268575,0.123704875660392,12794.4,0.95,0.0872981,0.167024,NA,NA,NA,NA,NA,NA,NA
"mu[889] NA",0.254295827666667,0.2540765,0.253642947372756,15000,0.95,0.224341,0.285342,NA,NA,NA,NA,NA,NA,NA
"mu[890] NA",0.256789089666667,0.2566235,0.256243337628126,15000,0.95,0.227786,0.286449,NA,NA,NA,NA,NA,NA,NA
"mu[891] NA",0.132662204133333,0.1318935,0.130649551701672,13350,0.95,0.091365,0.173224,NA,NA,NA,NA,NA,NA,NA
"mu[892] NA",0.129492313946667,0.128618,0.127850410354642,12744.2,0.95,0.0893529,0.170398,NA,NA,NA,NA,NA,NA,NA
"mu[893] NA",0.222354581466667,0.2220305,0.221994314099025,14474.7,0.95,0.181992,0.268473,NA,NA,NA,NA,NA,NA,NA
"mu[894] NA",0.245145825733333,0.2447765,0.243852042420565,15000,0.95,0.205127,0.287415,NA,NA,NA,NA,NA,NA,NA
"mu[895] NA",0.12362915738,0.122829,0.121802659620545,13297,0.95,0.0873206,0.160814,NA,NA,NA,NA,NA,NA,NA
"mu[896] NA",0.221405979666667,0.220933,0.220482811462732,15000,0.95,0.173941,0.269857,NA,NA,NA,NA,NA,NA,NA
"mu[897] NA",0.119746030966667,0.119205,0.120532677764652,10284.1,0.95,0.0845602,0.155573,NA,NA,NA,NA,NA,NA,NA
"mu[898] NA",0.13461919276,0.133807,0.134587832737153,12529.8,0.95,0.0973733,0.175994,NA,NA,NA,NA,NA,NA,NA
"mu[899] NA",0.3020265846,0.30181,0.302883934666176,15137.3,0.95,0.266341,0.338003,NA,NA,NA,NA,NA,NA,NA
"mu[900] NA",0.127986970306667,0.127367,0.126854553180469,12784.4,0.95,0.0929861,0.165519,NA,NA,NA,NA,NA,NA,NA
"mu[901] NA",0.269248109866667,0.269018,0.267793675691556,14410.1,0.95,0.23766,0.301939,NA,NA,NA,NA,NA,NA,NA
"mu[902] NA",0.253817020533333,0.253448,0.249552599276676,15000,0.95,0.216466,0.293833,NA,NA,NA,NA,NA,NA,NA
"mu[903] NA",0.130675573093333,0.129671,0.127222649418314,13176.2,0.95,0.0918877,0.172607,NA,NA,NA,NA,NA,NA,NA
"mu[904] NA",0.129230504606667,0.1284645,0.124197305096465,11917.1,0.95,0.0888877,0.171248,NA,NA,NA,NA,NA,NA,NA
"mu[905] NA",0.13248764196,0.1316325,0.131750482688735,11431.6,0.95,0.0905115,0.172867,NA,NA,NA,NA,NA,NA,NA
"mu[906] NA",0.12935741268,0.128406,0.127857895344693,12270.9,0.95,0.0907343,0.17278,NA,NA,NA,NA,NA,NA,NA
"mu[907] NA",0.232110822333333,0.23185,0.229542808168948,15000,0.95,0.201233,0.263506,NA,NA,NA,NA,NA,NA,NA
"mu[908] NA",0.236272030466667,0.2360405,0.234724885995114,15000,0.95,0.207824,0.265186,NA,NA,NA,NA,NA,NA,NA
