y[,1] sex[] internet[,1] y[,2] internet[,2]
1.618111 0 1 1.604394 1
1.946615 0 1 2.977943 0
1.468579 0 1 1.338739 1
1.902083 1 1 2.611704 0
2.488939 0 1 1.785026 1
2.600533 1 1 2.611704 1
2.122499 0 1 2.243968 1
1.565647 1 1 1.813197 1
1.54554 0 0 1.561882 0
2.145466 1 1 1.64412 0
2.272026 1 0 2.70601 1
3.332909 1 1 3.042484 1
2.347403 1 1 2.206239 1
2.646936 0 1 2.031886 1
2.059944 1 1 1.744204 0
1.723472 0 1 2.34904 0
2.360313 1 0 2.100879 0
2.193475 1 0 2.337267 0
1.927188 0 0 1.956296 1
2.271593 0 1 2.496294 1
1.366796 1 1 1.863831 0
2.559712 0 1 2.572475 1
1.435789 0 1 1.47227 1
1.170086 0 0 1.184588 0
1.079115 0 0 1.790724 1
2.208979 0 1 1.751503 1
1.576868 0 1 1.54881 1
2.08971 0 1 1.695414 1
2.034901 1 1 2.467118 1
0.9910637 0 1 1.417766 1
1.500328 1 0 1.932854 0
2.386675 1 1 2.419575 1
2.048449 0 1 2.153471 1
2.116864 1 0 2.224865 0
2.126844 0 1 1.407732 1
2.377397 1 1 2.349339 1
3.332909 1 1 3.091277 1
2.517154 0 1 2.667792 1
2.59894 1 1 2.388561 1
1.927772 0 1 1.858854 1
1.435789 0 0 1.407732 0
2.128937 1 1 2.100879 0
2.166666 1 1 2.215798 0
2.462229 1 0 2.621655 1
1.985836 1 0 1.695414 0
3.215127 1 1 2.202231 1
2.006317 0 0 2.100879 1
2.088115 0 1 1.89098 1
2.670066 0 1 2.65571 1
2.822084 1 0 2.388561 0
1.723472 1 0 1.957778 0
2.128937 0 1 1.914549 1
2.416619 1 0 2.388561 1
2.041925 0 0 2.324022 1
2.208979 1 0 2.658588 1
2.642159 1 1 3.147844 1
1.618111 0 1 2.052088 1
2.377397 0 1 2.231556 1
2.820244 1 1 3.150701 1
1.841254 1 1 2.395887 0
1.723472 0 0 1.532895 1
2.272026 0 1 2.243968 1
1.723472 0 0 1.988083 1
1.170086 0 1 1.896721 1
1.170086 1 1 1.823807 1
1.278746 0 1 2.3493 1
2.234297 1 1 2.206239 1
2.194516 1 1 2.656824 1
1.895322 0 1 1.946172 0
1.435789 1 0 1.440521 0
1.860621 1 1 1.47227 0
1.212646 1 1 1.264631 0
1.818782 0 1 2.126189 1
1.723472 0 1 1.407732 1
2.782858 1 1 2.506344 1
2.378397 1 1 2.174986 1
2.465409 1 1 2.490948 1
1.435789 1 0 1.590053 1
1.698154 0 0 1.744204 1
1.292689 0 1 1.47227 1
1.578879 1 1 2.215798 1
1.461091 0 1 1.761534 1
2.243856 0 1 2.388561 1
1.672178 0 1 2.349339 1
2.254688 1 0 1.47227 0
1.991726 1 1 2.048223 1
2.377397 0 1 2.349339 1
2.782858 1 1 2.669806 1
1.318006 0 1 1.338739 1
2.193475 1 1 2.037584 1
2.731566 1 1 2.703508 1
2.531731 1 0 2.293251 0
1.749139 0 1 1.957778 1
1.864971 0 0 1.64412 1
1.500328 1 0 1.380703 1
2.735072 1 1 2.7548 1
1.905793 0 1 2.794026 1
2.377397 1 1 2.555188 1
2.243856 0 1 2.349339 1
2.239285 1 1 2.267522 1
2.459678 0 0 1.454252 1
1.863233 1 0 1.877735 0
1.366797 0 0 1.338739 0
1.212646 1 0 1.407732 1
2.665075 1 1 2.637017 1
2.416619 0 1 2.388561 1
1.756261 0 1 2.324022 1
2.457441 1 1 2.667792 1
2.288785 0 0 2.255029 1
1.408761 0 1 1.590053 1
1.462107 0 0 1.617452 0
1.814226 0 1 2.084072 1
2.110857 0 0 2.858564 1
2.128937 1 0 1.918557 0
1.560953 0 0 1.695414 0
1.488131 1 0 1.393823 0
1.030324 0 0 1.002266 0
2.019866 1 1 2.255029 1
1.265396 0 1 2.466678 1
2.559714 1 0 2.685809 1
2.862906 1 1 2.571923 1
1.584209 1 0 2.320014 0
1.672178 0 0 1.88851 1
1.704034 0 1 1.914549 1
2.019866 0 1 1.717664 1
3.210307 1 1 3.042484 1
1.818782 0 0 1.695414 0
2.023576 0 0 2.013867 0
3.433447 0 1 3.616284 1
1.684237 0 1 1.704968 1
3.699152 1 1 3.042373 1
2.283087 1 0 2.061653 1
2.904687 1 1 3.160269 1
2.401505 1 0 1.877735 0
1.683993 0 0 1.745844 0
1.684237 1 1 2.098015 1
2.559712 0 1 2.667792 1
1.922322 0 0 1.53876 0
1.723472 1 0 1.802473 0
1.366797 0 0 1.550388 0
1.64341 1 1 2.127196 1
2.377389 1 1 1.877735 1
1.985836 1 0 1.957778 0
2.376838 0 1 2.126195 1
1.946615 0 1 2.171648 1
2.416619 1 0 1.695414 1
2.624251 1 1 2.388561 1
1.866567 0 0 1.64412 1
1.330429 0 0 1.327678 0
1.772262 1 0 1.731745 1
2.779524 0 1 2.936682 1
2.472054 1 1 3.116592 0
1.500328 0 0 1.47227 0
2.613783 1 1 2.466678 1
2.153629 1 0 1.695414 1
1.724471 0 0 1.47227 0
2.639762 0 0 2.509672 0
1.560953 0 0 1.590053 1
1.723472 0 0 2.058319 1
1.579024 0 1 1.695414 0
1.8545 1 0 1.764406 1
2.862906 1 1 2.819336 1
2.48275 0 1 2.701553 1
2.704298 0 1 3.001582 1
2.665079 1 1 2.503488 1
2.685669 0 1 2.732332 1
3.273159 0 0 3.304852 0
1.5311 0 0 1.613175 0
1.455592 0 0 1.22541 1
1.990951 0 1 1.431448 1
1.810483 1 1 2.324022 1
2.376221 0 1 1.945225 1
2.66835 0 1 2.611704 1
2.77604 1 1 3.017169 1
1.330429 1 1 1.031825 1
3.032237 1 1 2.834848 1
2.095035 0 1 2.100879 1
2.990419 1 1 3.063104 1
2.283087 1 1 2.310599 1
2.388219 1 1 2.462879 1
3.081125 1 1 1.695414 1
1.560953 0 1 1.455463 1
1.723472 1 0 1.47227 0
2.639762 1 1 2.531658 0
1.55209 1 1 2.388561 1
2.480767 0 1 2.834848 1
1.591174 1 1 1.338739 1
1.292689 0 1 1.590053 1
2.128937 0 1 1.995518 1
1.58994 1 0 1.957778 1
2.261426 1 0 2.324022 1
2.203039 0 0 2.180921 1
1.672178 1 0 1.648322 1
2.430042 0 0 1.76061 1
2.081999 0 1 2.085372 1
2.940183 1 1 3.054908 1
2.600536 0 1 2.685809 1
2.393921 1 1 2.413871 1
2.311258 1 1 2.433056 1
1.422366 0 1 1.47227 1
1.64341 0 1 1.762343 1
2.052775 1 1 2.072407 1
1.690197 1 1 1.358941 1
1.030324 0 1 1.695414 1
2.195068 0 1 2.206239 1
2.377397 1 1 2.572475 1
2.377397 0 1 2.398127 1
1.684232 1 1 1.974635 0
3.070542 1 1 3.224509 1
2.559712 1 1 2.531654 1
2.377098 1 0 1.47227 0
1.984354 0 1 1.874879 1
2.822084 1 1 2.589756 1
1.784096 0 1 3.137615 1
1.905793 1 0 2.2832 0
1.730944 1 1 2.180921 1
2.377098 1 1 1.813197 1
1.366797 0 0 1.590053 1
1.818782 1 1 2.483871 1
2.218777 1 0 2.223686 0
2.497839 1 1 2.73569 1
2.08971 0 1 1.695414 1
2.128937 1 0 1.382658 0
1.500328 1 1 2.167914 1
1.500328 0 1 2.314453 1
1.500328 1 0 2.449185 1
2.128937 0 0 1.691406 0
2.224247 1 1 2.226042 1
2.059944 0 0 1.957778 1
2.193475 1 0 2.349331 0
2.388219 1 1 2.388561 0
2.184056 0 1 1.957778 1
1.740329 0 1 1.695414 1
2.91921 1 1 3.001663 1
2.059944 1 1 2.437351 1
3.54648 0 1 2.296993 1
2.128937 0 0 1.590053 0
2.472706 1 1 2.09419 1
2.443747 1 1 1.838503 1
2.088115 0 1 2.061653 1
2.952462 1 1 2.611704 1
1.913515 0 0 2.053088 0
2.088115 0 0 1.695414 1
2.173793 0 0 2.177482 1
2.21487 1 1 2.100879 1
1.723472 0 0 1.950056 1
2.019866 0 1 1.744204 1
1.292689 1 1 1.407732 1
2.181642 1 0 2.231556 0
2.258048 0 1 2.349339 1
2.766051 1 1 2.936682 0
2.523997 0 1 2.707015 0
3.006001 1 1 2.7548 1
2.300787 0 1 1.874879 1
2.300085 0 0 2.382945 0
2.346936 1 1 2.413871 1
2.298836 1 1 2.270778 1
2.586783 1 1 2.645584 1
1.848635 0 1 1.877735 1
1.723472 1 0 1.695414 0
1.348778 0 0 1.264631 0
1.864971 0 1 2.243535 1
2.507145 1 1 2.018641 1
2.560663 0 1 2.041159 0
1.78174 1 1 1.590053 0
1.772262 1 1 1.656179 1
1.94341 1 1 1.532895 1
1.837544 1 0 2.060057 0
1.500328 0 1 1.506672 1
3.006001 1 0 2.977943 1
2.193475 0 1 2.437351 1
1.985836 1 1 2.066977 1
2.243856 0 1 1.992662 1
1.88474 1 1 2.745361 1
2.495176 1 0 1.946172 1
2.05581 0 1 1.877735 1
2.544452 1 1 2.611704 1
2.050179 1 1 1.966342 1
2.415055 1 1 2.413253 1
2.311258 0 1 2.324022 0
2.465409 0 1 2.611704 1
2.836929 1 1 2.717065 1
2.33917 0 1 2.298034 1
2.297272 1 1 2.100879 1
2.400703 0 1 2.363243 0
2.756483 0 1 2.693942 1
1.560953 0 1 1.877735 1
2.413112 1 0 2.388561 0
1.684243 0 1 1.879331 1
1.723472 0 1 2.243968 1
2.952462 1 1 2.760124 1
2.311258 1 0 1.914549 0
1.618111 0 0 2.14074 0
1.289607 0 0 1.233378 0
1.610143 1 0 1.992662 0
2.418889 1 0 2.315452 1
1.618111 0 0 1.590053 1
2.782858 1 0 2.7548 1
1.820598 0 0 1.264631 0
3.986834 1 1 4.076559 1
2.054572 0 0 2.460881 0
2.073424 1 1 1.830818 1
2.559712 0 1 2.531654 1
1.435789 1 1 1.264631 1
2.651691 1 0 2.255029 1
1.059883 0 0 1.819399 0
2.128937 1 0 2.310599 0
2.74044 0 1 2.398127 1
2.978375 1 1 1.803371 1
2.896189 1 1 2.936682 1
2.896189 0 1 2.013867 1
2.927444 1 0 2.977943 1
2.188138 0 1 2.23441 1
1.838386 1 1 1.800774 1
2.08971 0 1 2.215798 1
2.139724 0 1 2.374031 1
2.677058 0 0 1.002266 1
1.401888 1 0 2.133668 1
1.212646 1 1 1.264631 1
3.47571 0 1 4.076559 1
2.752198 0 1 2.324022 1
2.940867 0 1 2.255029 1
1.658399 0 1 1.64412 1
1.895322 1 1 1.115595 1
2.35208 0 1 2.434967 1
2.175457 0 1 2.34933 1
2.193475 1 1 3.042486 1
2.128937 1 0 2.243535 1
2.844554 0 1 2.936682 1
2.713867 1 0 2.524693 1
1.618111 0 0 1.6803 1
1.500328 1 1 1.930791 1
2.68779 1 1 3.853415 1
1.560953 0 1 1.64412 1
1.631904 1 0 1.918557 0
1.170086 1 1 1.744204 0
1.779379 0 1 2.110169 1
2.30289 1 1 2.031886 1
4.104617 1 1 2.866036 1
2.208979 0 0 1.695414 0
2.290914 1 0 2.2832 0
1.538647 0 1 1.820283 1
2.559712 0 1 2.494215 1
1.483569 0 0 1.790724 0
1.366797 0 0 1.47227 0
2.639762 0 1 2.310599 1
1.508549 0 1 1.695414 1
1.366797 0 0 2.977215 1
2.416619 1 0 2.215798 1
1.984354 0 0 1.584482 1
2.377098 1 0 3.187193 1
1.504782 0 1 2.2832 1
1.771257 1 1 2.551462 1
2.965181 0 1 2.717065 1
1.366797 0 1 1.407732 1
1.848341 0 1 1.403277 1
1.618111 1 1 1.407732 1
2.220874 1 1 2.126195 1
2.011154 0 1 1.838509 1
3.881474 0 1 2.125896 1
1.281639 0 1 1.22541 1
1.173385 0 1 2.528323 1
2.154247 1 1 2.271367 1
1.786446 0 1 2.34904 1
1.772262 1 1 1.918557 1
1.985836 1 1 2.060057 1
1.233265 1 0 1.20928 0
2.374266 1 1 2.290491 1
1.723472 1 1 2.909955 1
2.793913 0 1 2.493921 1
1.985836 1 1 2.100879 1
1.818782 1 1 1.957778 1
2.511929 0 0 2.570882 1
3.157497 0 1 3.086073 0
1.946615 1 1 2.717065 1
1.841254 0 0 1.957778 1
3.070543 1 1 3.196635 1
2.822084 0 1 3.23664 1
1.805919 0 1 1.800774 1
2.8474 1 1 2.879965 1
2.128937 1 0 2.388561 0
1.841254 0 0 1.891802 0
1.926412 1 0 1.695414 0
1.643407 0 1 1.787217 1
1.818782 1 0 2.611704 1
2.735072 0 1 2.611704 1
1.665842 0 0 2.531578 0
2.128937 1 0 2.865105 0
1.788322 1 0 1.407732 1
1.330429 0 0 1.264631 1
2.238289 0 1 2.326863 1
1.366797 1 1 2.611704 1
2.154243 0 0 1.925202 1
2.416619 1 0 2.133668 1
1.8368 0 0 1.835176 1
1.937776 1 0 2.022557 0
1.782312 0 1 1.618533 0
1.455592 0 0 1.544591 0
1.863233 1 1 1.767734 0
3.005793 0 0 2.531654 1
1.61254 0 0 1.612032 0
1.723472 0 0 1.744204 0
1.841254 1 0 1.695414 0
2.300647 0 1 2.01572 1
1.866706 1 0 1.857694 0
2.457441 0 1 2.429383 1
2.397191 1 1 2.388561 0
1.985836 1 1 1.93443 0
1.818782 1 0 1.561882 0
1.47501 0 1 1.397007 0
2.050043 1 0 1.695414 0
1.54115 0 1 1.542651 1
2.212318 1 1 2.165417 1
2.08971 1 1 2.020825 1
1.63464 1 0 1.617452 0
2.808177 0 1 2.125571 1
3.213433 1 1 2.947137 1
1.946615 0 1 2.243968 0
2.599981 1 0 2.794026 0
2.599981 1 0 2.086103 1
1.357828 1 0 2.449185 0
2.346196 0 1 1.691406 1
2.220741 1 0 1.978259 1
1.772262 1 1 1.877735 1
2.453433 0 0 1.656179 1
2.559712 0 1 2.141701 1
2.534402 1 1 2.614029 1
1.366797 1 0 2.040775 0
1.468579 1 0 1.906484 1
1.435789 1 0 1.002266 1
2.703611 0 1 3.265627 1
2.193475 0 0 2.277629 0
2.193475 1 0 2.483871 0
2.878173 0 1 2.449185 1
1.504071 0 1 1.695414 1
2.280226 1 1 2.467118 1
1.723472 0 1 2.148664 1
1.318006 0 0 1.338739 0
2.698031 1 0 2.605111 1
1.723472 1 0 1.695414 0
1.917628 1 0 1.93836 0
1.352408 0 1 2.272027 1
1.330429 1 0 1.22541 0
1.877622 1 0 1.37383 0
1.703269 1 1 2.908953 0
2.416619 0 1 2.195184 0
2.272026 1 1 2.488406 1
0.9502524 0 1 1.37383 1
1.723472 1 0 1.942274 1
2.530725 0 0 2.794026 0
2.477149 0 1 2.454692 1
2.377397 0 1 1.590053 1
2.495176 1 1 2.296993 1
2.185018 0 1 2.388561 1
2.534402 1 1 2.889336 1
1.989175 0 1 2.070107 1
1.931103 1 1 2.041926 1
3.188606 0 1 1.879317 1
1.528499 0 1 1.946728 1
2.846957 1 1 2.593767 1
1.104194 0 0 1.656153 0
1.212646 1 0 1.142028 0
2.416619 1 0 2.122314 0
2.243856 0 1 2.506344 1
3.556053 1 1 3.447951 1
1.897425 1 1 2.349335 1
1.930486 0 1 2.103203 1
2.366421 1 1 1.604887 1
