y[,1] y[,2] sex[]
1.672178 1.88851 0
1.704034 1.914549 0
2.019866 1.717664 0
3.042484 3.210307 1
1.818782 1.695414 0
2.023576 2.013867 0
3.433447 3.616284 0
1.684237 1.704968 0
3.042373 3.699152 1
2.061653 2.283087 1
2.904687 3.160269 1
1.877735 2.401505 1
1.745844 1.683993 0
1.684237 2.098015 1
2.667792 2.559712 0
1.922322 1.53876 0
1.802473 1.723472 1
1.366797 1.550388 0
1.64341 2.127196 1
2.377389 1.877735 1
1.985836 1.957778 1
2.376838 2.126195 0
1.946615 2.171648 0
1.695414 2.416619 1
2.624251 2.388561 1
1.866567 1.64412 0
1.327678 1.330429 0
1.731745 1.772262 1
2.936682 2.779524 0
2.472054 3.116592 1
1.500328 1.47227 0
2.466678 2.613783 1
1.695414 2.153629 1
1.724471 1.47227 0
2.509672 2.639762 0
1.560953 1.590053 0
2.058319 1.723472 0
1.695414 1.579024 0
1.8545 1.764406 1
2.819336 2.862906 1
2.701553 2.48275 0
2.704298 3.001582 0
2.503488 2.665079 1
2.732332 2.685669 0
3.273159 3.304852 0
1.5311 1.613175 0
1.22541 1.455592 0
1.990951 1.431448 0
1.810483 2.324022 1
2.376221 1.945225 0
2.611704 2.66835 0
3.017169 2.77604 1
1.031825 1.330429 1
2.834848 3.032237 1
2.100879 2.095035 0
2.990419 3.063104 1
2.310599 2.283087 1
2.388219 2.462879 1
3.081125 1.695414 1
1.455463 1.560953 0
1.47227 1.723472 1
2.531658 2.639762 1
2.388561 1.55209 1
2.834848 2.480767 0
1.591174 1.338739 1
1.590053 1.292689 0
2.128937 1.995518 0
1.957778 1.58994 1
2.324022 2.261426 1
2.203039 2.180921 0
1.672178 1.648322 1
2.430042 1.76061 0
2.081999 2.085372 0
2.940183 3.054908 1
2.685809 2.600536 0
2.393921 2.413871 1
2.433056 2.311258 1
1.47227 1.422366 0
1.762343 1.64341 0
2.072407 2.052775 1
1.690197 1.358941 1
1.030324 1.695414 0
2.195068 2.206239 0
2.572475 2.377397 1
2.398127 2.377397 0
