y[,1] y[,2]
1.684237 2.098015
2.667792 2.559712
1.922322 1.53876
1.802473 1.723472
1.366797 1.550388
1.64341 2.127196
2.377389 1.877735
1.985836 1.957778
2.376838 2.126195
1.946615 2.171648
1.695414 2.416619
2.624251 2.388561
1.866567 1.64412
1.327678 1.330429
1.731745 1.772262
2.936682 2.779524
2.472054 3.116592
1.500328 1.47227
2.466678 2.613783
1.695414 2.153629
1.724471 1.47227
2.509672 2.639762
1.560953 1.590053
2.058319 1.723472
1.695414 1.579024
1.8545 1.764406
2.819336 2.862906
2.701553 2.48275
2.704298 3.001582
2.503488 2.665079
2.732332 2.685669
3.273159 3.304852
1.5311 1.613175
1.22541 1.455592
1.990951 1.431448
1.810483 2.324022
2.376221 1.945225
2.611704 2.66835
3.017169 2.77604
1.031825 1.330429
2.834848 3.032237
2.100879 2.095035
2.990419 3.063104
2.310599 2.283087
2.388219 2.462879
3.081125 1.695414
1.455463 1.560953
1.47227 1.723472
2.531658 2.639762
2.388561 1.55209
2.834848 2.480767
1.591174 1.338739
1.590053 1.292689
2.128937 1.995518
1.957778 1.58994
2.324022 2.261426
2.203039 2.180921
1.672178 1.648322
2.430042 1.76061
2.081999 2.085372
2.940183 3.054908
2.685809 2.600536
2.393921 2.413871
2.433056 2.311258
1.47227 1.422366
1.762343 1.64341
2.072407 2.052775
1.690197 1.358941
1.030324 1.695414
2.195068 2.206239
2.572475 2.377397
2.398127 2.377397
1.684232 1.974635
3.224509 3.070542
2.531654 2.559712
1.47227 2.377098
1.984354 1.874879
2.589756 2.822084
1.784096 3.137615
2.2832 1.905793
2.180921 1.730944
2.377098 1.813197
1.366797 1.590053
2.483871 1.818782
2.223686 2.218777
2.497839 2.73569
2.08971 1.695414
2.128937 1.382658
2.167914 1.500328
1.500328 2.314453
1.500328 2.449185
2.128937 1.691406
2.224247 2.226042
1.957778 2.059944
2.349331 2.193475
2.388219 2.388561
1.957778 2.184056
1.695414 1.740329
3.001663 2.91921
2.059944 2.437351
2.296993 3.54648
2.128937 1.590053
2.09419 2.472706
1.838503 2.443747
2.061653 2.088115
2.611704 2.952462
1.913515 2.053088
2.088115 1.695414
2.173793 2.177482
2.21487 2.100879
1.950056 1.723472
1.744204 2.019866
1.292689 1.407732
2.231556 2.181642
2.258048 2.349339
2.936682 2.766051
2.707015 2.523997
2.7548 3.006001
1.874879 2.300787
2.382945 2.300085
2.413871 2.346936
2.298836 2.270778
2.645584 2.586783
1.877735 1.848635
1.695414 1.723472
1.348778 1.264631
2.243535 1.864971
2.507145 2.018641
2.041159 2.560663
1.78174 1.590053
1.656179 1.772262
1.94341 1.532895
