gender,sciach1,sciach2,sciach3,sciach4,sciach5
1,57.21,55.78,56.1942100943784,56.8397948260481,64.5
0,61.54,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,52.49,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,36.76,70.09,49.43,39.36,58.9703812636165
1,34.83,54.68,61.71,64.35,58.9703812636165
1,47.18,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,47.09,52.0369003285871,53.11,53.37,57.71
0,47.07,44.5,56.1942100943784,56.8397948260481,58.9703812636165
0,51.55,70.09,56.1942100943784,56.8397948260481,58.9703812636165
1,40.81,70.09,56.1942100943784,56.8397948260481,52.53
1,64.72,66.01,72.68,71.36,76.35
1,46.34,65.44,56.1942100943784,56.8397948260481,46.97
0,54.92,61.53,63.25,62.7,65.69
0,41.88,67.11,51.33,60.8,58.86
0,27.92,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,41.42,57.67,56.1942100943784,56.8397948260481,58.9703812636165
0,50.11,62.14,59.23,58.41,58.9703812636165
1,31.96,60.43,62.75,62.81,71.58
0,57.96,70.8,60.22,63.98,65.33
1,42.8,55.16,50.04,41.33,38.56
0,55.99,61.39,56.1942100943784,56.8397948260481,47.29
1,55.37,52.0369003285871,60.6,56.8397948260481,58.9703812636165
0,46.23,70.09,37,56.8397948260481,41.16
1,37.29,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,39.02,63.26,56.1942100943784,56.8397948260481,58.9703812636165
0,42.32,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,55.98,68.4,54.42,45.66,71.31
0,56.31,52.75,70.32,70.63,72.38
0,50.25,55.75,47.7,56.8397948260481,58.9703812636165
1,40.26,28,56.1942100943784,56.8397948260481,58.9703812636165
1,38,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,50.27,24.51,45.16,61.04,58.9703812636165
1,57.66,45.65,55.41,65.43,58.9703812636165
0,43.34,51.75,58.59,63.09,66.91
0,55.68,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,59.18,61.91,59.14,56.8397948260481,58.9703812636165
0,48.24,57.36,60.38,59.6,58.9703812636165
0,40.51,52.09,51.02,53.58,58.9703812636165
0,46.92,51.81,48.98,57.35,51.15
1,53.81,51.28,66.94,43.44,58.9703812636165
0,33.86,40.88,54.03,37.01,58.9703812636165
1,58.69,42.33,64.8,55.98,58.9703812636165
1,44.69,30.62,40.36,56.8397948260481,58.9703812636165
1,57.83,63.81,68.37,64.14,58.9703812636165
1,55.96,29.45,70.28,56.8397948260481,58.9703812636165
0,40.26,45.07,44.95,47.79,58.9703812636165
0,41,20.17,56.1942100943784,56.8397948260481,58.9703812636165
